,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-17 03:00:00,0.4678652551222203,0.6811897694337822,0.5129538908133707,0.59927310982794,0.5619046390016186
2024-07-17 04:00:00,0.46809821622006564,0.6824075241566414,0.5104343823838152,0.5970913178469647,0.562763800776951
2024-07-17 05:00:00,0.46697774839694384,0.6803177083186244,0.5166621463878163,0.5963233508320122,0.5651048003661295
2024-07-17 06:00:00,0.427841951086863,0.6363520505678596,0.5090683533772734,0.5560006497954308,0.535680607916914
2024-07-17 07:00:00,0.35925157829061743,0.5520393314791703,0.5021611926667474,0.483464780811011,0.4805547274378309
2024-07-17 08:00:00,0.30440395862095243,0.47629997284141046,0.48035073361574937,0.432179035123653,0.427154857572561
2024-07-17 09:00:00,0.2748708374350712,0.42947294064053954,0.4574880241197484,0.3916408539735458,0.39407495673682996
2024-07-17 10:00:00,0.25962614395455685,0.41349101340667715,0.4509202747482214,0.3779976169933647,0.38073609523848345
2024-07-17 11:00:00,0.26982351984827996,0.39930434860850106,0.44943685436516473,0.36848874296473755,0.37970675626004174
2024-07-17 12:00:00,0.27574578058668126,0.4005432279866749,0.4610331417639955,0.37098908948782805,0.3858334081273185
2024-07-17 13:00:00,0.28790942352355614,0.40491957697103215,0.4649401135608182,0.38135282816648436,0.39358864446055014
2024-07-17 14:00:00,0.30313172698094615,0.41197567670540214,0.46500090563247387,0.3928468777184919,0.40052992512630553
2024-07-17 15:00:00,0.3318038170193142,0.4177650603082274,0.46002538632421003,0.39600642661429447,0.40902444203633587
2024-07-17 16:00:00,0.41498204983635123,0.44368613906310955,0.4623579201439804,0.409465145529541,0.4432013295621801
2024-07-17 17:00:00,0.46588394606920613,0.5358561458047207,0.4938659835625648,0.5094959357763664,0.5001833002716668
2024-07-17 18:00:00,0.4790296218680202,0.5447101127673848,0.49403509528548883,0.48735933039922413,0.5052784610450162
2024-07-17 19:00:00,0.48287189547964376,0.5538137267375337,0.49683195410082287,0.5175225154970098,0.5105144883816186
2024-07-17 20:00:00,0.4829265202519767,0.5798145237562567,0.5032298557013425,0.5567495031461331,0.5214607150895593
2024-07-17 21:00:00,0.4830356133266553,0.5965785827344064,0.5003408807775124,0.5674289523385404,0.5246338955850633
2024-07-17 22:00:00,0.4805145062807896,0.6123700413642464,0.4976721200802573,0.5758708709165934,0.527819247245108
2024-07-17 23:00:00,0.4805021328616869,0.6239917474962606,0.49294132358635373,0.5847620372067566,0.5315640772865665
2024-07-18 00:00:00,0.4785311240899249,0.6415864618290531,0.5033754094011424,0.5892910226640528,0.5415021557547456
